code,name,credits,description,prerequisite,registration,termsOffered,gradeMode,additionalInformation
AENG 8310,English for Non-native Speakers – Listening & Speaking  ,Var[1-18] (18-0-0),Course Description: Not for academic credit.  English as a Second Language for non-native speakers.  Skills-based course to prepare students for typical listening and speaking tasks in academic setting.,Prerequisite:  None. Restriction: Must be a: Self Improvement.,,"Terms Offered: Fall, Spring, Summer.",,"Special Course Fee:  No.
",,Registration Information: Concurrent enrollment in AENG 8312 and AENG 8313.
AENG 8312,English for Non-Native Speakers – Reading & Writing  ,Var[1-18] (18-0-0),Course Description: Not for academic credit.  English as a Second Language for non-native speakers.  Skills-based course to prepare students for the reading and writing tasks in typical academic settings.,Prerequisite:  None. Restriction: Must be a: Self Improvement.,,"Terms Offered: Fall, Spring, Summer.",,"Special Course Fee:  No.
",,Registration Information: Concurrent registration in AENG 8310 and AENG 8313.
AENG 8313,English for Non-native Speakers – Grammar  ,Var[1-18] (18-0-0),Course Description: Not for academic credit.  English as a Second Language for non-native speakers Skills-based course to improve grammatical and lexical understanding and accuracy in written and oral communication.,Prerequisite:  None. Restriction: Must be a: Self Improvement.,,"Terms Offered: Fall, Spring, Summer.",,"Special Course Fee:  No.
",,Registration Information: Concurrent enrollment in AENG 8310 and AENG 8312.
