code,name,credits,description,prerequisite,registration,termsOffered,gradeMode,additionalInformation
BTEC 306,Bioprocess Engineering  ,4 (3-2-0),"Course Description: Material, energy balances; fluid flow, heat exchange, mass transfer; application to operations in food, fermentation, other bioprocess industries.",Prerequisite:  (CHEM 107 or CHEM 111) and (PH 121 or PH 141).,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Also Offered As:  BIOM 306.,Registration Information: Must register for lecture and laboratory. Credit not allowed for both BTEC 306 and BIOM 306.Term Offered: Spring.
BTEC 499,Biotechnology Thesis  ,Var[1-3] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",,Registration Information: Twelve credits from biotechnology core. Approval of program coordinator.
