code,name,credits,description,prerequisite,registration,termsOffered,gradeMode,additionalInformation
AMST 100,"Self/Community in American Culture, 1600-1877 (GT-HI1)  ",3 (3-0-0),"Course Description: Critical analysis of the meaning and development of American culture, 1600-1877, through themes of self and community in art, politics, society, and religion.",Prerequisite:  None.,,,Grade Mode:  Traditional.,Special Course Fee:  No.,"Additional Information:  Historical Perspectives 3D, History (GT-HI1).
"
AMST 101,Self/Community in American Culture Since 1877 (GT-HI1)  ,3 (3-0-0),"Course Description: Critical analysis of the meaning and development of American culture since 1877, through themes of self and community in art, politics, society, and religion.",Prerequisite:  None.,,,Grade Mode:  Traditional.,Special Course Fee:  No.,"Additional Information:  Historical Perspectives 3D, History (GT-HI1).
"
AMST 300,American Lives-Methods in American Studies  ,3 (3-0-0),Course Description: Methods and changing approaches of American studies since 1950s using autobiography as organizing theme.,Prerequisite:  AMST 100 and AMST 101.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Also Offered As:  E 300.,Registration Information: Credit not allowed for both AMST 300 and E 300.
AMST 492,Seminar in American Studies  ,3 (0-0-3),"Course Description: Seminar for seniors in Liberal Arts involving critical reading, writing, research, and discussion.  Topics vary.",Prerequisite:  AMST 300 or E 300.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Senior standing or written consent of instructor.Term Offered: Spring.
AMST 495,Independent Study in American Studies  ,Var[1-3] (0-0-0),Course Description: Individually-guided studies in interdisciplinary work in American culture.,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor.
AMST 499,Thesis in American Studies  ,3 (0-0-3),Course Description: ,Prerequisite:  AMST 492.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",
